	rt	int	ion_annotation	run	run_name
103	2813.07400000002	1292.9633953365737	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
104	2816.48800000002	1217.7475911526926	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
105	2819.90200000002	404.4017354408197	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
106	2823.315	313.33048285680434	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
107	2826.729	390.16902016986705	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
108	2830.143	289.55215333343745	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
109	2833.55599999998	134.58463220728163	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
110	2836.96900000002	113.23184445899415	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
111	2840.385	58.23420588217232	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
112	2843.799	88.96884979685638	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
113	2847.21199999998	27.499319069363537	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
114	2850.6259999999797	50.145918816667745	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
115	2854.0390000000198	45.29341935813136	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
116	2857.45300000002	32.352027329523025	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
117	2860.866	16.175924443246004	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
118	2864.27899999998	56.61651634255804	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
119	2867.69200000002	79.26237515493995	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
120	2871.10900000002	56.617067635158946	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
121	2874.5230000000197	100.29037870083357	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
122	2877.936	64.70407971625036	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
123	2881.34899999998	85.7323811857782	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
124	2884.764	131.0266712058592	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
125	2888.178	46.91040092421872	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
126	2891.5909999999803	72.79268423718577	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
127	2895.0060000000003	38.82331399711347	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
128	2898.4210000000203	42.0583469617668	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
129	2901.834	12.940814653063626	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
130	2905.24699999998	27.499435544598327	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
131	2908.66000000002	90.58534323952472	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
132	2912.0740000000196	29.117206094952053	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
133	2915.4880000000203	69.55790923711902	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
134	2918.901	25.881910137854902	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
135	2922.31399999998	6.470382462111957	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
136	2925.72700000002	9.705573376834309	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
137	2929.143	9.705518026521531	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
138	2932.5570000000002	71.17495027694076	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
139	2935.9699999999802	9.705622296223737	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
140	2939.38399999998	106.76423414844294	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
141	2942.79700000002	29.11751157148501	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
